program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	source_capability_id	source_cache_key	database	organism	tf	number_of_eligible_genes	total_regulon_target_count	number_of_overlapping_targets	number_of_unique_signed_target_weights	target_weight_variance	model_predictor_weight_variance	degrees_of_freedom	estimable	estimability_status	exclusion_reason	overlapping_target_genes	resource_hash	activity_score	fitted_coefficient	coefficient_standard_error	p_value	correlation	model_statistic_name	ulm_implementation_mode	adjusted_p_value	significant	activity_direction
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	SP1	2395	1333	216	2	0.16046511627906981	0.08338801073665375	2393	True	estimable		ABCC3;ACP5;ACTA2;ACTB;ADA;ADAMTS1;AEBP1;AKR1C3;ALAS2;AMACR;APP;AREG;BACE2;BGLAP;BIRC5;BMPR1A;BRCA1;BRD1;BSG;C1QBP;CALM1;CAT;CCNA2;CCNB1;CCND1;CCND3;CCNE1;CCR7;CD14;CD163;CD19;CD1D;CD248;CD28;CD40;CD7;CD74;CD83;CD9;CD99;CDC25B;CDH1;CDK1;CDK6;CDKN1A;CDKN2B;CEACAM1;CEBPD;CENPW;CLU;COL18A1;COL1A1;CR1;CSRP2;CTH;CTSG;CXADR;CXCL12;CYP1B1;CYP27A1;DAPK2;DLEC1;DNMT3B;DPYD;DUT;ELANE;EMB;EPOR;EREG;ETS1;ETS2;F13A1;FBN1;FCER1G;FECH;FHL2;FLT1;FN1;FOLR3;FOSL1;FOXP3;FUT4;GATA1;GRK2;GSN;GSTP1;GYPA;GYPB;HBA1;HBB;HBEGF;HCK;HLA-DQA1;HMBS;HMGA1;HMOX1;HP;HSPB1;IER3;IFITM3;IGF1R;IGFBP3;IGFBP4;IGFBP7;IL10;IL24;IL2RB;IRS2;ITGA2B;ITGA6;ITGAX;ITGB2;JUN;KCNE1;KCNMB1;KCNQ5;KIF2C;KIT;KLF4;KRT18;LARGE1;LAT;LHX4;LIPE;LMO4;LYPD3;LYZ;MAP3K1;MAT2A;MEFV;MGST1;MKI67;MME;MMRN1;MNDA;MPO;MS4A1;MSRB1;MX2;MYB;MYBL2;MYC;NDRG1;NECTIN2;NFKBIA;NR3C2;NT5E;ODC1;OPRM1;OSM;P2RX1;PADI4;PAPSS2;PCNA;PDK4;PDLIM7;PECAM1;PKM;PLAUR;PLD1;PMAIP1;PNMT;PNOC;POLE2;PPP2R2B;PRKCB;PRKCE;PRKG1;PROCR;PRTN3;PTGIR;PTGS2;PTK2;PTK7;PTPA;PTPRJ;RETN;RRM2;RUNX2;S100A12;S100A8;SELENOP;SELL;SERPINE2;SGK1;SLC11A1;SLC19A1;SLC22A4;SLC25A5;SLC26A5;SLC29A1;SLC31A1;SMAD7;SOCS1;SPRY2;ST6GALNAC3;ST8SIA1;STAT4;SYP;SYT11;TAGLN;TBXA2R;TCL1A;TF;TGFBI;TIMP1;TK1;TLR2;TLR4;TNF;TNFSF10;TPI1;TRIM25;TYMS;VCAM1;VDR	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	5.2104661459092441	0.62595376904369038	0.1201339288107896	2.044607173882727e-07	0.10591452672305195	slope_t_statistic	documented_decoupler_v2_ulm_formula	6.9925565346789259e-05	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	JUN	2395	682	105	2	0.075457875457875467	0.042080496997539081	2393	True	estimable		ABCC3;ACTB;ALAS2;APP;AREG;BGLAP;BRCA1;CCNA2;CCND1;CD24;CD68;CD69;CD9;CDH1;CDK5R1;CDKN1A;CEBPB;CEBPD;CLU;CSF1R;CSTA;CTNNB1;CXCL12;CYBB;DUSP1;ENPP2;ETS1;ETS2;FGF7;FLT1;FN1;FOSL1;FOXO3;FOXP3;GATA1;GREB1;GSTP1;HAVCR2;HBA1;HBB;HBEGF;HES1;HMBS;HMMR;HMOX1;HP;HSPB1;IGFBP4;IGFBP7;IL10;IL18;IL24;IL2RA;IL7;IRAK3;ITGAX;KRT18;LARGE1;LYPD3;MAP3K1;MAP3K8;MAT2A;MCF2;MGAT5;MIR155HG;MYB;MYC;NAMPT;NECTIN2;NEIL1;NFKBIA;NOTCH4;NT5E;OPRM1;OSM;PCNA;PDK1;PLAUR;PRKCE;PRKG1;PRKN;PTGS2;PTK2;RAC1;RBFOX2;RHD;RUNX2;SLC10A1;SLC11A1;SLC19A1;SLC29A1;SLC4A4;SLC7A11;SLC8A1;SMAD7;SPIB;STMN1;SYK;TGFBI;TIMP1;TNF;TPI1;VCAM1;VCAN;VDR	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	4.5715391277195803	0.77410701305175766	0.16933181395253752	5.0879397028359735e-06	0.093047111679189096	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.00087003768918495145	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	SPI1	2395	343	93	2	0.3179055633473587	0.037813043394847597	2393	True	estimable		ACP5;BGLAP;BLNK;BPI;BSG;C1QB;CALM1;CCL3;CCR7;CD14;CD163;CD1D;CD22;CD40;CD68;CD72;CD86;CDH1;CDK6;CLEC7A;CSF1R;CSF2RA;CSF2RB;CSF3R;CTSG;CXCR1;CYBB;DAPK2;EBF1;ELANE;ETS2;FCER1G;FCER2;FCGR1A;FCGRT;FLT3;FN1;GATA1;GATA2;GRAP2;GSTP1;HBB;HCK;HES1;HP;IFIT3;IGFBP3;IL10;IL18;IRF8;ITGA2B;ITGAX;ITGB2;ITGB5;JDP2;JUN;KIT;KLF4;LMO2;LRG1;LYZ;MEIS1;MME;MNDA;MPO;MS4A1;MS4A2;MYB;MYC;NCF2;NFKBIA;OPRM1;OSM;PAX5;PDLIM7;PRTN3;PTGIR;PTPN13;SLC10A1;SLC31A1;SPIB;SYK;TBXA2R;TFEC;TIMP1;TLE1;TLR2;TLR4;TNF;TNFSF10;TREM1;TYROBP;XAF1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	4.0436999451784787	0.72301375322108186	0.17880005020727863	5.4278520284102156e-05	0.082381337644540475	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.0061877513123876453	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	CEBPB	2395	449	68	2	0.11589113257243193	0.027689962554263176	2393	True	estimable		ABCC3;ACTA2;ALDH1A1;ALDH2;ALK;ALOX5AP;BGLAP;BPI;CAT;CCL3;CCNB2;CCND1;CCND3;CCNE1;CD14;CD1D;CD200;CD36;CDKN1A;CEBPD;COL1A1;CSF1R;CSF3R;CSRP2;CXCL12;DAPK1;DUSP1;EBF1;ELANE;FGFR2;GSTP1;HBB;HIPK2;HP;IL10;IL24;ITGAX;KLF4;KLF5;LRP6;LYPD3;MAFB;MEFV;MYC;NFKBIA;NRG1;PDK4;PLD1;PRKAR2B;PTGS2;PTK2;PTPN13;RETN;RHD;RUNX2;S100A8;S100A9;SLC10A1;SLC19A1;SNCA;SOCS1;SOX6;STEAP4;STMN1;TLR8;TNF;U2AF1;UHRF1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.9318725046443133	0.821688281936095	0.20898141558901512	8.6681311557303278e-05	0.080117934087214057	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.0074112521381494304	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	NFKB	2395	797	137	2	0.19536281665951052	0.054587756796305301	2393	True	estimable		ACP5;ACTB;ALOX5AP;APP;BIRC5;BTG1;CAMK2D;CCL3;CCNB1;CCNB2;CCND1;CCNE1;CCR7;CD14;CD200;CD28;CD40;CD69;CD74;CD79B;CD83;CD86;CD99;CDC25B;CDH1;CDK6;CDKN1A;CEBPD;CHST2;CITED2;CTNNB1;CXCL12;CXCR1;CYBB;DACH1;DAPK1;DLGAP5;DUSP1;ESAM;ETS1;FABP5;FCGR1A;FCGRT;FGF7;FLT4;FMNL2;FN1;FNDC3B;FOXP3;GBP1;GSTP1;HMOX1;HOXA9;HP;ICOSLG;IER3;IFNGR2;IGF1R;IL10;IL18;IL1R1;IL2RA;IL2RB;IRAK2;ITGAX;JUN;JUNB;KIT;KLF4;LARGE1;LCK;LEF1;LXN;MAP3K8;MAT2A;MIR155HG;MME;MYC;NAMPT;NFKBIA;NLRP2;NLRP3;NR4A2;NRG1;OPRM1;P2RY1;PADI4;PCNA;PDK1;PDK4;PECAM1;PID1;PKM;PLAUR;PLD1;PLD2;PLK1;PMAIP1;PRF1;PRKCB;PRKCE;PRKG1;PRKN;PTAFR;PTGS2;PTK2;PTPN13;RETN;RHD;RRM2;SDC4;SGK1;SLC22A4;SLC25A5;SLC31A1;SMAD7;SOCS1;ST8SIA1;STAT4;STMN1;TG;TGM2;TIMP1;TLR2;TLR4;TNF;TNFRSF18;TNFRSF4;TNFSF10;TNFSF13B;TRAF1;TREM1;TRIB1;TRPC1;U2AF1;VCAM1;WWOX	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.767251003788803	0.56086725705571838	0.14887971533928651	0.00016903897821832781	0.076783724671966549	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.011562266110133623	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	RUNX1	2395	196	53	2	0.34833091436865027	0.021816196720053447	2393	True	estimable		ADA;AQP1;BAALC;BGLAP;BIRC5;BPI;CCL3;CCND3;CD69;CD79A;CDH1;CDK6;CDKN1A;CDKN2B;CR1;CSF1R;CTSG;ELANE;EPOR;ETV6;FHL2;FLT3;FOXP3;GATA1;GATA2;GP1BA;HES1;IER3;IGFBP3;IGLL1;IL10;IL2RA;ITGA2B;ITGAX;ITGB2;JUN;KIT;KLF4;LAT2;LYZ;MPO;MYC;MYH10;NFE2;PRKCB;PTGS2;RGCC;RHD;SLC22A4;SOX6;TIMP1;TNFRSF18;TNFSF10	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.3910919267012352	0.79905418810700357	0.23563330200968702	0.00070745177664419687	0.069155578234494239	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.040324751268719219	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	SP3	2395	449	65	2	0.28846153846153855	0.026623622382330212	2393	True	estimable		ABCC3;AEBP1;AKR1C3;APP;BGLAP;BIRC5;BPI;BRCA1;BSG;CALM1;CCND1;CD14;CD74;CD83;CDC25B;CDKN1A;CDKN2B;CENPW;COL1A1;CR1;CYP27A1;DLEC1;DNMT3B;DPYD;EREG;FKBP1A;FLT1;FOXP3;GATA1;HBEGF;HP;IGFBP3;IGFBP4;IL10;ITGA2B;ITGAX;LAT;LYPD3;MAP3K1;MAT2A;MYC;NECTIN2;ODC1;OPRM1;PADI4;PAPSS2;PDLIM7;PKM;PLAUR;PRKCB;PRKG1;PTGS2;PTPA;RETN;S100A12;SGK1;SLC19A1;STMN1;TBXA2R;TFRC;TGFBI;TIMP1;TNF;TNFRSF4;UHRF1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.1940130280896244	0.68146967308106832	0.21335845129243669	0.0014213327345128596	0.065154073021410935	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.069442256457628276	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	AP1	2395	592	81	2	0.097530864197530848	0.032800512066526788	2393	True	estimable		ABCC3;ACTB;ALAS2;ALK;APP;AQP1;AREG;BGLAP;BRCA1;BTG1;CAMK4;CAT;CCNA2;CCND1;CCR7;CD14;CD244;CD28;CD40;CD69;CD9;CDH1;CDKN1A;CLU;CTNNB1;CXCL12;DACH1;DUSP1;ENPP2;ETS1;FLT1;FN1;FOSL1;GSTP1;HAVCR2;HBA1;HBB;HBEGF;HMBS;HMOX1;HP;ICOS;IGFBP4;IL10;IL18;IL24;IL2RA;IRS2;ITGAX;JUN;KRT18;LARGE1;LGMN;MAP3K8;MAT2A;MYC;NCF2;NLRP2;NLRP3;NOTCH4;ODC1;OPRM1;OSM;PCNA;PDLIM7;PLAUR;PRF1;PRKCE;PTGS2;RBFOX2;RETN;SLC7A11;SLC8A1;SMAD7;SRXN1;TF;TIMP1;TLR4;TNF;VCAM1;VCAN	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.0601005989945316	0.58832120572333169	0.19225551144189132	0.0022371797149046933	0.062433298274111496	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.079800470792351516	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	ELF1	2395	79	20	2	0.19999999999999996	0.0082977101766245811	2393	True	estimable		CAT;CD1D;CD247;CD68;CD79A;CDH1;CSF1R;CYBB;DNTT;FCER1G;FCGRT;IL10;IL2RA;LAT;LMO2;LYN;LYZ;MEIS1;MYC;PDK1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	2.9919851602494534	1.1437646771201315	0.38227618649845557	0.0028000165190298775	0.061048820179356825	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.079800470792351516	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	ETS2	2395	111	30	2	0.13333333333333328	0.012394591210105985	2393	True	estimable		ANPEP;APP;BGLAP;BRCA1;CCND1;CD163;CD79A;CDK1;CDKN1A;CSF1R;CSF3R;CYP27A1;ERG;ETS1;FLT4;FOXP3;GATA1;HBEGF;HMOX1;HPGD;JUNB;LCK;MGAT5;MYB;MYC;PLPP1;RUNX1;SYK;TFEC;TNF	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.0025981857584396	0.93914302690283535	0.31277679156580623	0.0027045632191445585	0.061264558257077113	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.079800470792351516	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	GATA1	2395	147	46	2	0.58743961352657015	0.019057734803257273	2393	True	estimable		AHSP;ALAS2;BIRC5;C1QA;CCND1;CD86;CDC6;CDK6;CDKN1A;CYBB;DACH1;EPB42;EPOR;F13A1;FCER1G;FCGR1A;FCGRT;GATA2;GFI1B;GP1BA;GSTP1;GYPA;GYPB;HBA1;HBB;HBD;HEMGN;HMBS;IRF8;ITGA2B;ITGAX;KIT;KLF1;MS4A2;MYB;MYC;NFE2;PECAM1;RHAG;RUNX1;SLC19A1;SLC25A37;SPTA1;TBXA2R;TIMP1;YBX1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.1083929921970066	0.78395740687785298	0.25220665753841931	0.0019031897998697134	0.063414645885846166	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.079800470792351516	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	TAL1	2395	95	24	1	0	0.0099246027385792249	2393	True	estimable		ARVCF;CCND1;CD7;CD74;CDH23;CDKN2B;CHST11;EPB42;EPOR;ERG;FBN1;FCRL1;FLT1;GYPA;ITGA2B;LMO2;MEF2C;MPO;MYB;MYO1E;NFE2;RBFOX3;RUNX1;STMN1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	3.0050880669651701	1.0503883831290382	0.34953663910083754	0.0026826045437152285	0.061315170497616631	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.079800470792351516	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	SSRP1	2395	147	26	1	0	0.010742583668635751	2393	True	estimable		CCNB1;CCND1;CCNE1;CD83;CDKN1A;CREBZF;CTSG;FCER1G;HBEGF;HES1;HMOX1;IGLL1;ITGAX;LYZ;MYB;MYBL2;MYC;NFKBIA;ODC1;PCNA;PTGS2;TG;TIMP1;TNF;TRAF1;VDR	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8	2.9073276220583488	0.97687980698991095	0.33600609700061707	0.0036788503781329577	0.059327625838856771	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.096782063793959358	True	increased
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	SPI1	2395	102	38	2	0.29871977240398295	0.015694420463127204	2393	True	estimable		ACP5;BPI;CD14;CD163;CD22;CD40;CD68;CD86;CSF1R;CSF2RA;CSF3R;CTSG;CXCR1;CYBB;DAPK2;ELANE;ERG;FCGR1A;FPR1;GATA1;HCK;IFIT3;ITGA2B;ITGAX;ITGB2;MME;MNDA;MPO;MYB;NCF2;PRTN3;PTGIR;RUNX1;TBXAS1;TFEC;TLR4;TNF;TYROBP	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	3.4683568177426296	0.96345062018551586	0.27778301680407119	0.00053290313360539426	0.070723470939119917	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.086863210777679264	True	increased
